min,max,volume,cotacao
25.85,26.23,34858000.00,26.00
25.82,26.47,42751300.00,25.90
26.42,26.92,33187000.00,26.68
26.64,27.12,46503700.00,26.83
26.29,27.47,71543000.00,27.37
26.12,26.66,52186100.00,26.35
26.36,26.77,31543800.00,26.77
26.85,27.07,32877200.00,26.85
26.52,26.82,37623400.00,26.73
26.98,27.66,39268700.00,27.11
27.34,27.62,27538500.00,27.37
27.06,27.77,52432600.00,27.25
27.43,28.07,54746200.00,27.80
27.21,27.89,57546800.00,27.60
27.68,28.00,51791000.00,27.68
27.32,27.89,44824900.00,27.44
27.25,27.89,99894800.00,27.60
26.22,27.34,103570100.00,26.75
25.63,27.06,94486200.00,26.72
25.55,26.58,116775300.00,25.93
25.57,26.97,225797500.00,25.83
27.87,28.70,55902000.00,28.00
28.78,29.57,61552600.00,28.78
28.67,29.24,43710100.00,29.16
28.98,29.39,54836800.00,29.25
28.21,28.89,54469400.00,28.78
27.37,28.47,52011600.00,28.47
27.54,28.56,54760300.00,27.54
27.86,28.30,37779600.00,28.29
27.87,28.42,42009300.00,28.00
27.74,28.53,51426800.00,28.06
26.95,28.06,69192000.00,28.06
27.34,28.21,64836800.00,27.34
27.72,28.68,91205500.00,28.63
26.82,27.59,104444500.00,27.34
27.00,28.14,104034300.00,27.00
27.92,28.97,79965000.00,28.56
28.90,29.60,68214000.00,28.97
28.60,29.50,69094100.00,29.20
28.26,28.79,91627300.00,28.74
28.11,28.39,60864500.00,28.25
27.91,28.20,42499000.00,28.19
27.52,28.13,60818300.00,28.10
27.25,27.96,63824900.00,27.50
27.01,27.78,66241900.00,27.75
26.22,26.75,49564400.00,26.67
26.49,26.91,32835300.00,26.77
26.47,26.76,18423400.00,26.76
26.63,27.25,41978700.00,26.70
26.60,27.75,93065100.00,27.06
26.63,27.25,49131400.00,27.08
26.57,27.14,46504200.00,26.58
26.63,27.03,54190800.00,26.70
27.13,27.70,36602000.00,27.13
26.82,27.49,46559400.00,27.40
26.87,27.66,55114500.00,27.04
26.84,27.40,58041900.00,27.38
26.41,26.79,43379000.00,26.76
26.71,27.02,63841800.00,26.84
26.00,26.95,81125500.00,26.95
25.85,26.21,69042200.00,26.05
25.23,25.85,72427900.00,25.72
24.54,25.17,39617300.00,24.84
24.73,25.28,40153900.00,25.13
24.66,25.85,55614100.00,25.09
25.32,25.84,64527000.00,25.49
25.81,26.10,40989100.00,26.05
25.60,26.12,53874900.00,26.03
25.37,25.85,47957400.00,25.80
25.56,25.96,63253600.00,25.58
25.47,25.93,62607500.00,25.62
25.11,25.56,59419200.00,25.37
24.74,25.53,65079900.00,24.77
25.32,25.54,40109000.00,25.54
25.16,25.54,49545000.00,25.32
25.02,25.50,54646500.00,25.07
25.10,25.53,45336500.00,25.53
25.28,25.56,67021300.00,25.40
24.68,25.30,50359400.00,25.16
24.66,24.90,40425000.00,24.82
24.70,25.12,53731500.00,24.83
24.66,25.09,46577300.00,24.85
24.84,25.19,53980700.00,24.99
25.07,25.41,54763700.00,25.26
25.15,25.50,70177600.00,25.48
24.77,25.42,68761800.00,24.96
24.70,25.92,121611300.00,25.11
24.47,24.94,72119800.00,24.72
23.80,24.82,95206400.00,24.65
22.28,24.20,104534800.00,24.06
22.08,22.83,61634700.00,22.68
21.28,21.98,74083700.00,21.67
20.42,21.68,77104200.00,21.68
21.25,21.98,90384300.00,21.55
21.35,22.32,141767000.00,21.49
22.06,23.05,171157500.00,22.25
22.00,22.80,74740000.00,22.00
22.80,23.27,53832000.00,22.87
22.96,23.33,45231700.00,23.05
22.96,23.45,61946100.00,23.36
23.20,23.90,63296400.00,23.30
23.07,24.07,64017600.00,23.29
23.44,24.90,73871100.00,23.44
24.45,25.47,87994700.00,24.77
24.31,25.12,99037200.00,24.59
24.95,25.72,54183300.00,25.56
25.34,26.33,66867500.00,25.34
25.80,26.53,90530000.00,25.94
25.07,25.56,90874500.00,25.46
24.88,25.50,65584300.00,25.17
25.05,25.87,92811300.00,25.38
24.27,25.70,90759000.00,25.53
24.05,24.99,62111600.00,24.25
24.01,24.80,77961200.00,24.37
25.07,25.36,31253600.00,25.15
25.01,25.48,77228100.00,25.17
25.43,26.29,79946400.00,26.00
25.17,26.04,100628900.00,25.80
23.91,25.19,104423900.00,25.10
23.95,25.32,112776300.00,24.24
25.29,25.92,63162600.00,25.33
24.68,25.72,94206400.00,25.46
25.35,27.03,119096300.00,25.35
26.26,27.65,95817100.00,26.30
26.99,28.30,95344400.00,27.19
27.41,28.16,60389900.00,28.16
27.11,28.02,97295500.00,27.32
27.30,28.33,83768200.00,27.62
26.42,28.00,106235600.00,28.00
25.97,28.74,160276600.00,26.42
26.12,27.60,108582200.00,27.60
25.69,26.64,79214600.00,26.32
25.68,26.99,92815200.00,25.68
25.81,26.48,77137100.00,26.20
26.27,26.60,63337600.00,26.53
25.72,26.30,61676900.00,25.92
25.70,26.34,55966900.00,25.70
26.26,26.63,80821500.00,26.45
26.09,26.73,73608600.00,26.73
25.55,26.12,92086700.00,25.77
25.06,26.75,118804300.00,25.29
25.65,26.39,82173400.00,26.05
26.28,27.00,89555800.00,26.82
25.75,26.97,187492600.00,26.60
23.66,24.59,104279700.00,23.96
23.21,24.52,98887200.00,24.02
23.46,25.42,151327500.00,23.79
21.90,22.82,126848000.00,22.82
20.80,21.36,56189700.00,21.00
21.02,21.94,90911600.00,21.09
20.47,21.46,103505300.00,21.46
19.97,20.30,59915100.00,20.19
19.53,20.15,53832700.00,20.08
19.92,20.41,54074100.00,20.00
19.95,20.30,58278000.00,20.14
19.75,20.35,56002300.00,19.87
19.83,20.46,60349100.00,19.98
19.47,20.25,72439500.00,20.25
18.63,19.49,71081100.00,19.40
18.48,18.96,55539800.00,18.79
18.62,19.13,36484700.00,18.71
18.64,19.22,59497400.00,18.95
18.43,18.89,56093700.00,18.50
19.05,19.60,57854600.00,19.26
18.48,19.02,51423800.00,18.99
18.23,18.80,53709300.00,18.65
18.62,19.19,39538900.00,18.65
18.76,19.13,25185500.00,19.00
18.91,19.43,75441300.00,19.26
18.68,19.54,63693500.00,18.80
18.45,19.31,71078300.00,19.30
18.34,18.85,37724000.00,18.35
18.30,18.76,35272500.00,18.71
18.05,18.44,37720400.00,18.30
17.88,18.52,56116900.00,17.95
17.65,18.38,56361600.00,18.35
17.65,18.53,68395700.00,17.72
18.09,18.51,55914000.00,18.36
18.40,18.86,68030100.00,18.46
18.77,19.35,50945200.00,18.95
19.05,19.67,65009200.00,19.05
19.73,20.31,54962900.00,19.98
19.27,20.04,58053300.00,20.04
19.36,20.15,61439400.00,19.59
19.80,20.35,50904200.00,20.34
20.12,21.07,57509600.00,20.14
20.57,21.46,68345100.00,20.71
20.98,21.47,44136900.00,21.04
21.09,21.55,86090700.00,21.11
19.95,20.78,68110200.00,20.41
19.54,20.01,38658100.00,20.01
19.47,19.79,38516200.00,19.72
19.70,20.10,36946100.00,19.89
19.55,19.81,36322700.00,19.77
19.37,19.95,47894000.00,19.41
19.61,20.00,48457400.00,19.96
19.53,19.87,39765000.00,19.66
19.21,19.47,34974300.00,19.26
18.93,19.48,97664400.00,19.29
17.74,18.40,59346500.00,18.40
17.94,18.40,40284500.00,18.05
17.71,18.40,40458300.00,18.29
17.60,17.98,62439400.00,17.88
17.78,18.18,44811600.00,18.11
17.52,18.02,45360100.00,17.96
17.30,18.08,85536700.00,17.41
17.55,18.35,70524300.00,17.75
17.65,18.09,31928700.00,17.86
17.65,18.80,75576300.00,17.86
17.24,18.45,53717500.00,18.45
17.46,17.89,56569500.00,17.50
16.90,17.48,54211100.00,17.47
16.73,17.19,75132900.00,17.19
16.33,17.07,94451800.00,16.60
16.06,16.98,77888500.00,16.55
15.53,16.12,59331000.00,16.04
15.06,15.79,59891200.00,15.70
